Item ID,Name,Unit Size,PAR,Order Quantity
3497,BAG GROCERY PAPER 20#,CASE,,0
6792,BAG GROCERY PAPER 57#,CASE,,0
3381,BAG 1LB WHITE W/WINDOW,CASE,,0
4638,BAG GROCERY PLSTC T-SHIRT,CASE,,0
3299,BAG KRAFT WINDOW 6.5,,,0
7552,PICNIC PACK HVY WT BLACK,CASE,,0
3634,FLATWARE CUTLEREASE KNIFE,CASE,,0
3635,FLATWARE CUTLEREASE FORK,CASE,,0
3636,FLATWARE CUTLEREASE SPOON,CASE,,0
3253,"STIRRER WOODEN WRAPPED 7.5""",CASE,,0
1665,"STRAW PLSTC JUMBO 7.75""",BOX,,0
1570,NAPKIN MORNAP 13X12 NAT,CASE,,0
4782,GLOVE VINYL PF LG ,CASE,,0
1220,GLOVE VINYL PF MED,CASE,,0
1395,GLOVE VINYL PF XL,CASE,,0
3189,SLEEVE BURN CUT RESISTANT,EACH,,0
3288,"HB BOX 6.5""X6.5""X2.25"" COMPOSTABLE",CASE,,0
3327,BOWL SOUP 12OZ COMPOST,CASE,,0
3328,LID FOR 12& 16 OZ SOUP BOLW COMPOST,CASE,,0
1779,BOX HINGED LID 1 CMP 6X6X2 COMPOSTABLE,EACH,,0
4129,CNTR HINGED 5X5 PLSTC CLEAR (S/O),CASE,,0
3659, CNTR KRAFT BAKEABLE 10 OZ (S/O),CASE,,0
3347,HUB BOWL REC 32OZ COMPOST,CASE,,0
3348, HUB LID DOME 32&48 OZ REC BOWL,CASE,,0
4969,CUP PLSTC SOUFFLE 2 OZ (HOT),CASE,,0
0890,CUP 16 OZ CLEAR PET (SMOOTHIE),CASE,,0
4972,CUP PLSTC SOUFFLE 4 OZ (HOT),CASE,,0
3221,CUP PAPER CONE 6 OZ,CASE,,0
4970,LID PLSTC SOUFFLE 2 OZ (HOT),CASE,,0
4973,LID PLSTC SOUFFLE 4 OZ (HOT),CASE,,0
DRY STORAGE - FOOD,,,,0
4552,NUT PIGNOLI PINE NUTS,LB,,0
0404,SUGAR GRANULATED,BAG,,0
4892,PC SWTNR ARTFCL SPLENDA,CASE,,6
0407,PC SWTNR ARTFCL EQUAL,CASE,,0
2276,PEPPERS JALAPEN SLCD,GAL,,0
0099,PICKLE DILL CHIPS THIN ,GAL,,0
0193,PC JELLY GRAPE,CASE,,0
0200,PC JELLY - STRAWBERRY JAM,CASE,,0
0205,PC NUTELLA,CASE,,0
0496,PC PEANUT BUTTER,CASE,,0
0427,FLOUR ALL PURPOSE,LB,,0
4622,FLOUR RICE WHIT,LB,,0
0421,CORNSTARCH,LB,,0
3505,SUGAR BROWN LT 1LB,CASE,,0
0062,GRAIN RICE CONVERTED LONG,BOX,,0
0399,HONEY WHIT CLOVER,BTL,,0
1392,VEG BEANS REFRIED,CASE,,0
0350,VEG TOMATO DICED IN JUICE,CASE,,0
0348,VEG TOMATO PUREE,CASE,,0
0347,VEG TOMATO PASTE,C,,0
4227,CHILES GREEN DICED,CASE,,0
1817,VEG BEANS BLACK,CASE,,0
0314,VEG BEANS RED KIDNEY,CASE,,0
0330,VEG PEAS CHICK,CASE,,0
0120,VINEGAR CIDER,CASE,,0
0663,VINEGAR RED WINE,CASE,,0
4876,VINEGAR BALSAMIC 5LTR,CASE,,0
1247,VINEGAR RICE UNSEASONED,QT,,0
0211,PASTA MACARONI ELBOW,BOX,,0
4114,OIL OLIVE PURE,GAL,,0
0087,DRESS MAYONNAISE GAL (DBL EGG),CASE,,0
4763,SAUCE CATSUP DISPENSER PACK,BAG,,0
0244,DRESS MAYONNAISE DISP PACK,1.5GL,,0
1474,SAUCE HONEY MUSTARD DISP PACK,1.5G ,,0
6398,FRANKS RED HOT - DISPENSER PACK,CS,,0
2214,SAUCE CATSUP   ,3/GAL,,0
1390,OLIVE SLCD BLACK,CASE,,0
0018,SAUCE FISH,BTL,,0
4071,SAUCE HOT,GAL,,0
0057,SAUCE CHILI SRIRACHA,BTL,,0
0113,SAUCE SOY,CASE,,0
2459,SAUCE MUSTARD DIJON,BTL,,0
0117,SAUCE TABASCO,BTL,,0
0118,SAUCE WORCESTERSHIRE,GAL,,0
0108,SAUCE CHEESE CHEDDAR,CASE,,0
0443,OIL VEG CANOLA,CASE,,0
2213,OIL COATING PAN AEROSOL,CASE,,0
4826,OLILVE PITTED CALAMATA,CNTR,,0
3515,CHIPS TORTILLA WHITE TRIANGLE,CASE,,0
0134,CROUTONS SEASONED,BOX,,0
0098,PEPPERS PEPPERONCINI HOT WHL GREEN,GAL,,0
0298,SPICE SALT COOKING,LB,,0
1643,SPICE - KOSHER SALT,CASE,,0
1271,SPICE PEPPER BLACK CRACKED,LB,,0
0275,SPICE MUSTARD DRY,LB,,0
1145,SPICE THYME LEAVES,CNTR,,0
0284,SPICE PEPPERCORN BLCK WHL,CNTR,,0
0285,SPICE BLACK PEPPER GROUND,5LB CNTR,,0
0288,SPICE PEPPER WHITE GROUND,CNTR,,0
0287,SPICE PEPPER RED CRUSHED,CNTR,,0
0286,SPICE PEPPER CAYENNE,CNTR,,0
1444,SPICE PAPRIKA SMOKED,CNTR,,0
0282,SPICE PAPRIKA GROUND,CNTR,,0
0280,SPICE OREGANO WHOLE,CNTR,,0
4712,SPICE ONION POWDER,CNTR,,0
0259,SPICE GARLIC POWDER,CNTR,,0
0256,SPICE CUMIN SEED GROUND,CNTR,,0
1334,SPICE CORIANDER GROUND,CNTR,,0
0250,SPICE CHILI POWDER DARK,CNTR,,0
4387,SPICE BAY LEAVES WHL,CNTR,,0
0241,SPICE BASIL LEAVES,CNTR,,0
1900,QUINOA,BAG,,0
3147,PASTE GOCHUJANG,CNTR,,0
4003,SESAME OIL,GAL,,0
1626,MIRIN ,BTL,,0
4675,MISO ,PKG,,0
1223,TAHINI PASTE,JAR,,0
1396,ROASTED RED PEPPERS,CASE,,0
0093,SAUCE MUSTARD YELLO,CNTR,,0
4086,DRY RANCH MIX - HIDDEN VALLEY,LB,,0
